image,codec,bytes,bpp,enc_ms,dec_ms
kodim03,obsidian-r3c-run-force,386688,7.8672,413.23,127.73
kodim04,obsidian-r3c-run-force,472551,9.6141,443.18,143.96
kodim05,obsidian-r3c-run-force,566445,11.5244,499.58,164.37
kodim06,obsidian-r3c-run-force,475327,9.6706,444.39,144.49
kodim07,obsidian-r3c-run-force,428600,8.7199,442.31,139.12
kodim08,obsidian-r3c-run-force,562984,11.4539,503.90,169.70
kodim09,obsidian-r3c-run-force,438797,8.9273,438.99,139.06
kodim10,obsidian-r3c-run-force,450372,9.1628,434.00,140.68
kodim11,obsidian-r3c-run-force,463681,9.4336,454.02,142.68
kodim12,obsidian-r3c-run-force,413419,8.4110,424.22,132.57
kodim13,obsidian-r3c-run-force,611613,12.4433,499.00,169.66
kodim14,obsidian-r3c-run-force,516901,10.5164,473.40,154.86
kodim15,obsidian-r3c-run-force,447346,9.1013,432.67,139.84
kodim16,obsidian-r3c-run-force,425793,8.6628,442.29,133.82
kodim17,obsidian-r3c-run-force,443305,9.0191,435.75,139.43
kodim18,obsidian-r3c-run-force,576646,11.7319,490.75,165.01
kodim19,obsidian-r3c-run-force,486311,9.8940,442.47,147.71
kodim20,obsidian-r3c-run-force,378379,7.6981,363.74,117.82
kodim21,obsidian-r3c-run-force,492055,10.0109,482.98,155.74
kodim22,obsidian-r3c-run-force,537322,10.9318,491.65,159.48
kodim23,obsidian-r3c-run-force,435369,8.8576,433.18,140.57
kodim24,obsidian-r3c-run-force,507501,10.3251,477.38,154.91
kodim01,obsidian-r3c-run-safnet,512186,10.4205,476.87,131.78
kodim02,obsidian-r3c-run-safnet,457043,9.2986,455.10,124.31
kodim03,obsidian-r3c-run-safnet,382698,7.7860,420.24,107.98
kodim04,obsidian-r3c-run-safnet,471172,9.5860,448.32,123.10
kodim05,obsidian-r3c-run-safnet,565716,11.5095,495.04,140.37
kodim06,obsidian-r3c-run-safnet,474540,9.6545,448.91,123.74
kodim07,obsidian-r3c-run-safnet,425784,8.6626,442.81,117.47
kodim08,obsidian-r3c-run-safnet,562116,11.4363,489.60,138.65
kodim09,obsidian-r3c-run-safnet,437880,8.9087,439.94,119.12
kodim10,obsidian-r3c-run-safnet,449464,9.1444,431.89,119.87
kodim11,obsidian-r3c-run-safnet,460359,9.3660,458.18,123.95
kodim12,obsidian-r3c-run-safnet,410831,8.3584,433.84,112.54
kodim13,obsidian-r3c-run-safnet,611009,12.4310,504.66,147.10
kodim14,obsidian-r3c-run-safnet,515896,10.4959,478.93,131.49
kodim15,obsidian-r3c-run-safnet,445139,9.0564,439.71,120.75
kodim16,obsidian-r3c-run-safnet,423363,8.6133,444.06,113.42
kodim17,obsidian-r3c-run-safnet,441529,8.9829,446.42,119.56
kodim18,obsidian-r3c-run-safnet,576200,11.7228,491.11,140.84
kodim19,obsidian-r3c-run-safnet,485706,9.8817,450.49,127.15
kodim20,obsidian-r3c-run-safnet,376966,7.6694,395.35,109.00
kodim21,obsidian-r3c-run-safnet,491209,9.9937,468.13,127.40
kodim22,obsidian-r3c-run-safnet,536857,10.9224,480.85,134.56
kodim23,obsidian-r3c-run-safnet,433886,8.8274,431.33,118.66
kodim24,obsidian-r3c-run-safnet,506075,10.2961,473.68,130.07
kodim01,obsidian-r3c-run-safnet+xchan,512186,10.4205,475.11,130.32
kodim02,obsidian-r3c-run-safnet+xchan,457043,9.2986,451.42,123.54
kodim03,obsidian-r3c-run-safnet+xchan,382698,7.7860,420.35,108.16
kodim04,obsidian-r3c-run-safnet+xchan,471172,9.5860,446.91,124.41
kodim05,obsidian-r3c-run-safnet+xchan,565716,11.5095,497.00,139.41
kodim06,obsidian-r3c-run-safnet+xchan,474540,9.6545,446.43,122.82
kodim07,obsidian-r3c-run-safnet+xchan,425784,8.6626,443.30,115.81
kodim08,obsidian-r3c-run-safnet+xchan,562116,11.4363,488.23,139.44
kodim09,obsidian-r3c-run-safnet+xchan,437880,8.9087,437.99,117.65
kodim10,obsidian-r3c-run-safnet+xchan,449464,9.1444,431.65,119.84
kodim11,obsidian-r3c-run-safnet+xchan,460359,9.3660,455.71,120.83
kodim12,obsidian-r3c-run-safnet+xchan,410831,8.3584,426.88,111.87
kodim13,obsidian-r3c-run-safnet+xchan,611009,12.4310,527.56,144.70
kodim14,obsidian-r3c-run-safnet+xchan,515896,10.4959,481.85,131.19
kodim15,obsidian-r3c-run-safnet+xchan,445139,9.0564,429.40,119.84
kodim16,obsidian-r3c-run-safnet+xchan,423363,8.6133,441.07,113.81
kodim17,obsidian-r3c-run-safnet+xchan,441529,8.9829,441.61,118.40
kodim18,obsidian-r3c-run-safnet+xchan,576200,11.7228,496.41,145.41
kodim19,obsidian-r3c-run-safnet+xchan,485706,9.8817,445.69,124.86
kodim20,obsidian-r3c-run-safnet+xchan,376966,7.6694,379.21,106.36
kodim21,obsidian-r3c-run-safnet+xchan,491209,9.9937,480.56,125.74
kodim22,obsidian-r3c-run-safnet+xchan,536857,10.9224,476.47,134.65
kodim23,obsidian-r3c-run-safnet+xchan,433886,8.8274,434.49,116.61
kodim24,obsidian-r3c-run-safnet+xchan,506075,10.2961,478.20,132.00
