image,codec,bytes,bpp,enc_ms,dec_ms
kodim20,obsidian-r3c-run-force,378379,7.6981,318.64,109.90
kodim21,obsidian-r3c-run-force,492055,10.0109,394.20,135.09
kodim22,obsidian-r3c-run-force,536246,10.9100,406.75,148.53
kodim23,obsidian-r3c-run-force,435016,8.8504,368.53,129.21
kodim24,obsidian-r3c-run-force,507501,10.3251,399.31,140.16
kodim01,obsidian-r3c-run-safnet,510653,10.3893,401.31,117.15
kodim02,obsidian-r3c-run-safnet,457043,9.2986,383.68,109.52
kodim03,obsidian-r3c-run-safnet,392176,7.9788,360.11,98.95
kodim04,obsidian-r3c-run-safnet,483617,9.8392,383.46,112.16
kodim05,obsidian-r3c-run-safnet,564603,11.4869,420.55,124.32
kodim06,obsidian-r3c-run-safnet,474540,9.6545,376.98,109.12
kodim07,obsidian-r3c-run-safnet,428640,8.7207,375.93,104.44
kodim08,obsidian-r3c-run-safnet,565028,11.4955,416.76,123.06
kodim09,obsidian-r3c-run-safnet,439768,8.9471,375.23,105.24
kodim10,obsidian-r3c-run-safnet,453439,9.2252,372.42,107.80
kodim11,obsidian-r3c-run-safnet,463898,9.4380,388.78,108.42
kodim12,obsidian-r3c-run-safnet,418197,8.5082,370.04,101.96
kodim13,obsidian-r3c-run-safnet,610271,12.4160,426.95,128.64
kodim14,obsidian-r3c-run-safnet,515896,10.4959,403.45,120.87
kodim15,obsidian-r3c-run-safnet,457377,9.3054,379.60,108.11
kodim16,obsidian-r3c-run-safnet,423775,8.6217,372.42,102.01
kodim17,obsidian-r3c-run-safnet,448333,9.1214,376.96,106.53
kodim18,obsidian-r3c-run-safnet,572313,11.6437,415.80,124.67
kodim19,obsidian-r3c-run-safnet,487353,9.9152,384.41,111.75
kodim20,obsidian-r3c-run-safnet,376966,7.6694,319.03,92.21
kodim21,obsidian-r3c-run-safnet,491209,9.9937,395.15,112.72
kodim22,obsidian-r3c-run-safnet,535879,10.9025,406.47,119.58
kodim23,obsidian-r3c-run-safnet,433864,8.8270,367.43,104.69
kodim24,obsidian-r3c-run-safnet,506075,10.2961,402.83,115.49
kodim01,obsidian-r3c-run-safnet+xchan,512186,10.4205,403.30,115.79
kodim02,obsidian-r3c-run-safnet+xchan,457043,9.2986,386.22,108.21
kodim03,obsidian-r3c-run-safnet+xchan,382698,7.7860,353.92,95.91
kodim04,obsidian-r3c-run-safnet+xchan,471172,9.5860,375.65,109.00
kodim05,obsidian-r3c-run-safnet+xchan,565716,11.5095,420.30,124.15
kodim06,obsidian-r3c-run-safnet+xchan,474540,9.6545,377.10,108.42
kodim07,obsidian-r3c-run-safnet+xchan,425784,8.6626,375.56,102.85
kodim08,obsidian-r3c-run-safnet+xchan,562116,11.4363,419.45,125.14
kodim09,obsidian-r3c-run-safnet+xchan,437880,8.9087,369.42,103.57
kodim10,obsidian-r3c-run-safnet+xchan,449464,9.1444,366.80,105.38
kodim11,obsidian-r3c-run-safnet+xchan,460359,9.3660,384.93,107.30
kodim12,obsidian-r3c-run-safnet+xchan,410831,8.3584,365.33,99.32
kodim13,obsidian-r3c-run-safnet+xchan,611009,12.4310,426.72,128.47
kodim14,obsidian-r3c-run-safnet+xchan,515896,10.4959,406.54,115.66
kodim15,obsidian-r3c-run-safnet+xchan,445139,9.0564,369.38,104.42
kodim16,obsidian-r3c-run-safnet+xchan,423363,8.6133,373.77,100.79
kodim17,obsidian-r3c-run-safnet+xchan,441529,8.9829,371.39,104.79
kodim18,obsidian-r3c-run-safnet+xchan,576200,11.7228,416.78,123.37
kodim19,obsidian-r3c-run-safnet+xchan,485706,9.8817,379.31,110.97
kodim20,obsidian-r3c-run-safnet+xchan,376966,7.6694,324.96,91.97
kodim21,obsidian-r3c-run-safnet+xchan,491209,9.9937,396.14,112.04
kodim22,obsidian-r3c-run-safnet+xchan,536857,10.9224,404.64,119.03
kodim23,obsidian-r3c-run-safnet+xchan,433886,8.8274,366.54,103.93
kodim24,obsidian-r3c-run-safnet+xchan,506075,10.2961,403.24,115.58
